ID,SMILES,UX,UY,MOLWT,SOLUBILITY,LOGP,NHACCEPT,NHDONER,NHETEROATOMS,NROTABLEBONDS,FRACCSP3,TPSA
CHEMBL1614705,O=C(CO)N1CCC(c2[nH]nc(-c3ccc(Cl)cc3F)c2-c2ccncn2)CC1,9.810884475708008,5.728541374206543,415.85600000000017,-2.11,3.0245000000000015,5,2,9,4,0.3,95.0
CHEMBL1688539,Fc1ccc(Nc2ncnc3ccccc23)cc1Cl,6.424016952514648,13.956218719482422,273.698,-2.11,4.1659000000000015,3,1,5,2,0.0,37.81
CHEMBL406381,CCCNC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1Cl,9.794941902160645,14.944293975830078,416.86500000000024,-3.7,4.624200000000004,6,2,9,7,0.25,94.60000000000001
CHEMBL518981,COc1cc2c(Nc3ncc(CC(=O)Nc4ccccc4)s3)ncnc2cc1OCCCN1CCOCC1,7.387740135192871,14.796895980834961,534.6420000000003,-3.4,4.120800000000003,10,2,11,11,0.3333333333333333,110.73
CHEMBL2036573,O=C(Nc1ccc(N2CCCCC2)cc1)c1nnc(Nc2ccccc2F)o1,-2.1127195358276367,6.7089033126831055,381.411,-3.15,4.194900000000003,6,2,8,5,0.25,83.29
CHEMBL1270280,CN(c1ccnc(Nc2cc(N3CCOCC3)nc(N3CCOCC3)c2)n1)c1cccc2[nH]ncc12,2.572741746902466,8.4915189743042,487.56800000000027,-3.1,2.9326,10,2,11,6,0.36,107.56000000000002
CHEMBL1480201,O=S(=O)(c1ccc(F)cc1)N1CCCN(c2nccc(C(F)(F)F)n2)CC1,8.83826732635498,6.229182243347168,404.38900000000007,-3.05,2.5355000000000008,5,0,11,3,0.375,66.4
CHEMBL27759,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,5.135097503662109,4.793315887451172,376.4160000000001,-0.9,3.342500000000001,5,3,7,6,0.09523809523809523,106.34
CHEMBL1835918,Cc1ccc(N2CC(COc3ccc(-c4noc(C)n4)cc3)C2)nn1,12.525334358215332,5.066125869750977,337.38300000000004,-0.89,2.65864,7,0,7,5,0.3333333333333333,77.17
CHEMBL254359,Nc1ccccc1NC(=O)c1ccc(N2CCOCC2)cc1,5.00929069519043,4.970668792724609,297.358,-0.74,2.3577000000000004,4,2,5,3,0.23529411764705882,67.59
CHEMBL1289926,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,7.182936191558838,5.790485382080078,386.48,-3.3,4.639100000000004,4,2,6,5,0.045454545454545456,70.67
CHEMBL256364,CNC(=O)C(C)Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12,2.9407711029052734,15.566779136657715,453.5060000000002,-2.22,3.679700000000002,8,2,9,7,0.16,106.85000000000001
CHEMBL2335132,O=c1cc(-c2ccc3c(c2)OCO3)[nH]c2ccccc12,6.088348865509033,7.022716522216797,265.268,-2.21,2.923800000000001,3,1,4,1,0.0625,51.32
CHEMBL2010848,CN(C(=O)Cc1ccc(-n2cnnn2)cc1)C1CCN(Cc2ccc(C(F)(F)F)cn2)CC1F,23.810876846313477,10.221776008605957,477.4660000000002,-1.63,2.6896000000000004,7,0,12,6,0.4090909090909091,80.04
CHEMBL1940272,CCn1cc(NC(=O)Cc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)cn1,9.787291526794434,14.934215545654297,433.46800000000025,-1.62,3.8369000000000026,8,1,9,8,0.21739130434782608,100.39000000000001
CHEMBL453651,CNC(=O)c1ccc(Nc2nccc(-c3cnc(COC)n3C(C)C)n2)cc1,1.9152406454086304,-0.24407903850078583,380.4520000000001,-1.61,3.170600000000002,7,2,8,7,0.3,93.96
CHEMBL2023484,CCc1c[nH]nc1NC(=O)Cc1ccc(Oc2ccnc3cc(OC)ccc23)cc1OC,10.319920539855957,15.22243595123291,432.4800000000002,-2.13,4.511000000000004,6,2,8,8,0.20833333333333334,98.36000000000001
CHEMBL284536,CCc1cc(OCc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c2ccccc2n1,7.393606185913086,7.025868892669678,407.4770000000001,-2.11,5.2233000000000045,5,1,6,6,0.12,76.58000000000001
CHEMBL271012,CC(CO)Nc1nc(SCc2ccccc2F)nc2[nH]c(=O)sc12,9.385663986206055,7.310894966125488,366.44300000000004,-2.09,2.6037,7,3,9,6,0.26666666666666666,90.9
CHEMBL118973,Cn1c2ccccc2c2cc(NC(=O)CCc3ccncc3)ccc21,7.841508865356445,2.09788179397583,329.403,-1.96,4.297800000000002,3,1,4,4,0.14285714285714285,46.92
CHEMBL403569,O=C(CO)N1CCCC1COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,5.12943172454834,14.357781410217285,519.9890000000001,-2.72,4.362900000000003,8,2,10,9,0.25925925925925924,109.7
CHEMBL192,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,7.890308380126953,6.600550651550293,474.5870000000004,-1.7,1.6109,8,1,11,7,0.5,113.41999999999999
CHEMBL194436,O=C(Nc1ccc(Cl)c(COc2cccnc2)c1)c1cc(F)cc(N2CCOCC2)c1,7.273880481719971,12.757882118225098,441.89000000000027,-2.66,4.542000000000003,5,1,8,6,0.21739130434782608,63.69
CHEMBL2086694,CC1CN(c2noc(C(F)F)n2)CCN1c1ncc(OCc2ccncc2C#N)cn1,19.747371673583984,5.492576599121094,428.40300000000013,-2.51,2.3579800000000004,10,0,12,6,0.3684210526315789,117.09000000000002
CHEMBL2086670,CC1CN(C(=O)OC(C)(C)C)CCN1c1ncc(OCc2ccc(C#N)cc2)cn1,19.04460906982422,5.388230323791504,409.4900000000001,-2.47,3.372880000000002,7,0,8,4,0.45454545454545453,91.58
